Date,Rise,Set,DayLength,DayLengthDiff,Meridian,Altitude,Distance
2018-01-01,07:25,17:01,09:37,+00:01,12:13,29.3,147098000
2018-01-02,07:25,17:02,09:37,+00:01,12:13,29.4,147097000
2018-01-03,07:25,17:03,09:38,+00:01,12:14,29.5,147097000
2018-01-04,07:25,17:04,09:39,+00:01,12:14,29.6,147099000
2018-01-05,07:25,17:05,09:40,+00:01,12:15,29.7,147101000
2018-01-06,07:25,17:06,09:41,+00:01,12:15,29.8,147103000
2018-01-07,07:25,17:06,09:42,+00:01,12:16,30.0,147107000
2018-01-08,07:25,17:07,09:43,+00:01,12:16,30.1,147112000
2018-01-09,07:25,17:08,09:44,+00:01,12:16,30.2,147117000
2018-01-10,07:25,17:09,09:45,+00:01,12:17,30.4,147123000
2018-01-11,07:24,17:10,09:46,+00:01,12:17,30.5,147130000
2018-01-12,07:24,17:11,09:47,+00:01,12:18,30.7,147137000
2018-01-13,07:24,17:12,09:48,+00:01,12:18,30.9,147146000
2018-01-14,07:24,17:13,09:50,+00:01,12:18,31.0,147154000
2018-01-15,07:23,17:14,09:51,+00:01,12:19,31.2,147163000
2018-01-16,07:23,17:15,09:52,+00:01,12:19,31.4,147173000
2018-01-17,07:23,17:16,09:54,+00:01,12:19,31.6,147184000
2018-01-18,07:22,17:18,09:55,+00:01,12:20,31.8,147194000
2018-01-19,07:22,17:19,09:57,+00:02,12:20,32.0,147206000
2018-01-20,07:21,17:20,09:58,+00:02,12:20,32.3,147218000
2018-01-21,07:21,17:21,10:00,+00:02,12:21,32.5,147230000
2018-01-22,07:20,17:22,10:02,+00:02,12:21,32.7,147244000
2018-01-23,07:20,17:23,10:03,+00:02,12:21,32.9,147258000
2018-01-24,07:19,17:24,10:05,+00:02,12:21,33.2,147272000
2018-01-25,07:18,17:25,10:07,+00:02,12:22,33.4,147287000
2018-01-26,07:18,17:26,10:09,+00:02,12:22,33.7,147303000
2018-01-27,07:17,17:27,10:10,+00:02,12:22,33.9,147320000
2018-01-28,07:16,17:28,10:12,+00:02,12:22,34.2,147337000
2018-01-29,07:15,17:30,10:14,+00:02,12:22,34.5,147356000
2018-01-30,07:15,17:31,10:16,+00:02,12:22,34.7,147375000
2018-01-31,07:14,17:32,10:18,+00:02,12:23,35.0,147395000
2018-02-01,07:13,17:33,10:20,+00:02,12:23,35.3,147417000
2018-02-02,07:12,17:34,10:22,+00:02,12:23,35.6,147439000
2018-02-03,07:11,17:35,10:24,+00:02,12:23,35.9,147462000
2018-02-04,07:10,17:36,10:26,+00:02,12:23,36.2,147485000
2018-02-05,07:09,17:37,10:28,+00:02,12:23,36.5,147510000
2018-02-06,07:08,17:39,10:30,+00:02,12:23,36.8,147535000
2018-02-07,07:07,17:40,10:32,+00:02,12:23,37.1,147561000
2018-02-08,07:06,17:41,10:34,+00:02,12:23,37.4,147587000
2018-02-09,07:05,17:42,10:36,+00:02,12:23,37.8,147614000
2018-02-10,07:04,17:43,10:39,+00:02,12:23,38.1,147641000
2018-02-11,07:03,17:44,10:41,+00:02,12:23,38.4,147669000
2018-02-12,07:02,17:45,10:43,+00:02,12:23,38.7,147698000
2018-02-13,07:01,17:46,10:45,+00:02,12:23,39.1,147726000
2018-02-14,07:00,17:47,10:47,+00:02,12:23,39.4,147756000
2018-02-15,06:59,17:48,10:50,+00:02,12:23,39.8,147785000
2018-02-16,06:57,17:49,10:52,+00:02,12:23,40.1,147815000
2018-02-17,06:56,17:51,10:54,+00:02,12:23,40.5,147845000
2018-02-18,06:55,17:52,10:57,+00:02,12:23,40.8,147876000
2018-02-19,06:54,17:53,10:59,+00:02,12:23,41.2,147907000
2018-02-20,06:53,17:54,11:01,+00:02,12:23,41.5,147938000
2018-02-21,06:51,17:55,11:03,+00:02,12:23,41.9,147970000
2018-02-22,06:50,17:56,11:06,+00:02,12:23,42.3,148002000
2018-02-23,06:49,17:57,11:08,+00:02,12:22,42.6,148035000
2018-02-24,06:47,17:58,11:11,+00:02,12:22,43.0,148068000
2018-02-25,06:46,17:59,11:13,+00:02,12:22,43.4,148101000
2018-02-26,06:45,18:00,11:15,+00:02,12:22,43.7,148136000
2018-02-27,06:43,18:01,11:18,+00:02,12:22,44.1,148170000
2018-02-28,06:42,18:02,11:20,+00:02,12:22,44.5,148206000
2018-03-01,06:40,18:03,11:22,+00:02,12:21,44.9,148242000
2018-03-02,06:39,18:04,11:25,+00:02,12:21,45.3,148278000
2018-03-03,06:38,18:05,11:27,+00:02,12:21,45.6,148315000
2018-03-04,06:36,18:06,11:30,+00:02,12:21,46.0,148353000
2018-03-05,06:35,18:07,11:32,+00:02,12:21,46.4,148392000
2018-03-06,06:33,18:08,11:34,+00:02,12:20,46.8,148430000
2018-03-07,06:32,18:09,11:37,+00:02,12:20,47.2,148470000
2018-03-08,06:30,18:10,11:39,+00:02,12:20,47.6,148509000
2018-03-09,06:29,18:11,11:42,+00:02,12:20,48.0,148549000
2018-03-10,06:28,18:12,11:44,+00:02,12:19,48.4,148590000
2018-03-11,07:26,19:13,11:47,+00:02,13:19,48.7,148630000
2018-03-12,07:25,19:14,11:49,+00:02,13:19,49.1,148671000
2018-03-13,07:23,19:15,11:52,+00:02,13:19,49.5,148712000
2018-03-14,07:22,19:16,11:54,+00:02,13:18,49.9,148753000
2018-03-15,07:20,19:17,11:56,+00:02,13:18,50.3,148794000
2018-03-16,07:19,19:17,11:59,+00:02,13:18,50.7,148835000
2018-03-17,07:17,19:18,12:01,+00:02,13:17,51.1,148876000
2018-03-18,07:16,19:19,12:04,+00:02,13:17,51.5,148917000
2018-03-19,07:14,19:20,12:06,+00:02,13:17,51.9,148958000
2018-03-20,07:13,19:21,12:09,+00:02,13:17,52.3,148999000
2018-03-21,07:11,19:22,12:11,+00:02,13:16,52.7,149041000
2018-03-22,07:09,19:23,12:14,+00:02,13:16,53.1,149082000
2018-03-23,07:08,19:24,12:16,+00:02,13:16,53.5,149123000
2018-03-24,07:06,19:25,12:18,+00:02,13:15,53.9,149164000
2018-03-25,07:05,19:26,12:21,+00:02,13:15,54.3,149206000
2018-03-26,07:03,19:27,12:23,+00:02,13:15,54.7,149247000
2018-03-27,07:02,19:28,12:26,+00:02,13:14,55.1,149289000
2018-03-28,07:00,19:29,12:28,+00:02,13:14,55.4,149331000
2018-03-29,06:59,19:29,12:31,+00:02,13:14,55.8,149373000
2018-03-30,06:57,19:30,12:33,+00:02,13:14,56.2,149416000
2018-03-31,06:56,19:31,12:35,+00:02,13:13,56.6,149459000
2018-04-01,06:54,19:32,12:38,+00:02,13:13,57.0,149502000
2018-04-02,06:53,19:33,12:40,+00:02,13:13,57.4,149545000
2018-04-03,06:51,19:34,12:43,+00:02,13:12,57.8,149588000
2018-04-04,06:50,19:35,12:45,+00:02,13:12,58.1,149632000
2018-04-05,06:48,19:36,12:48,+00:02,13:12,58.5,149675000
2018-04-06,06:47,19:37,12:50,+00:02,13:11,58.9,149719000
2018-04-07,06:45,19:38,12:52,+00:02,13:11,59.3,149763000
2018-04-08,06:44,19:39,12:55,+00:02,13:11,59.6,149806000
2018-04-09,06:42,19:40,12:57,+00:02,13:11,60.0,149850000
2018-04-10,06:41,19:40,12:59,+00:02,13:10,60.4,149893000
2018-04-11,06:40,19:41,13:02,+00:02,13:10,60.8,149937000
2018-04-12,06:38,19:42,13:04,+00:02,13:10,61.1,149980000
2018-04-13,06:37,19:43,13:06,+00:02,13:10,61.5,150022000
2018-04-14,06:35,19:44,13:09,+00:02,13:09,61.8,150065000
2018-04-15,06:34,19:45,13:11,+00:02,13:09,62.2,150107000
2018-04-16,06:32,19:46,13:13,+00:02,13:09,62.6,150149000
2018-04-17,06:31,19:47,13:16,+00:02,13:09,62.9,150190000
2018-04-18,06:30,19:48,13:18,+00:02,13:08,63.3,150231000
2018-04-19,06:28,19:49,13:20,+00:02,13:08,63.6,150271000
2018-04-20,06:27,19:50,13:23,+00:02,13:08,63.9,150312000
2018-04-21,06:26,19:51,13:25,+00:02,13:08,64.3,150351000
2018-04-22,06:24,19:51,13:27,+00:02,13:08,64.6,150391000
2018-04-23,06:23,19:52,13:29,+00:02,13:07,64.9,150430000
2018-04-24,06:22,19:53,13:31,+00:02,13:07,65.3,150470000
2018-04-25,06:21,19:54,13:34,+00:02,13:07,65.6,150508000
2018-04-26,06:19,19:55,13:36,+00:02,13:07,65.9,150547000
2018-04-27,06:18,19:56,13:38,+00:02,13:07,66.2,150586000
2018-04-28,06:17,19:57,13:40,+00:02,13:07,66.6,150625000
2018-04-29,06:16,19:58,13:42,+00:02,13:06,66.9,150663000
2018-04-30,06:14,19:59,13:44,+00:02,13:06,67.2,150701000
2018-05-01,06:13,20:00,13:46,+00:02,13:06,67.5,150740000
2018-05-02,06:12,20:01,13:48,+00:02,13:06,67.8,150778000
2018-05-03,06:11,20:02,13:50,+00:02,13:06,68.1,150816000
2018-05-04,06:10,20:02,13:53,+00:02,13:06,68.4,150853000
2018-05-05,06:09,20:03,13:55,+00:02,13:06,68.6,150891000
2018-05-06,06:08,20:04,13:56,+00:02,13:06,68.9,150928000
2018-05-07,06:07,20:05,13:58,+00:02,13:06,69.2,150964000
2018-05-08,06:06,20:06,14:00,+00:02,13:06,69.5,151001000
2018-05-09,06:05,20:07,14:02,+00:02,13:06,69.7,151037000
2018-05-10,06:04,20:08,14:04,+00:02,13:06,70.0,151072000
2018-05-11,06:03,20:09,14:06,+00:02,13:06,70.2,151107000
2018-05-12,06:02,20:10,14:08,+00:02,13:05,70.5,151141000
2018-05-13,06:01,20:11,14:10,+00:02,13:05,70.7,151175000
2018-05-14,06:00,20:11,14:11,+00:02,13:05,71.0,151208000
2018-05-15,05:59,20:12,14:13,+00:02,13:06,71.2,151240000
2018-05-16,05:58,20:13,14:15,+00:02,13:06,71.5,151272000
2018-05-17,05:58,20:14,14:16,+00:02,13:06,71.7,151303000
2018-05-18,05:57,20:15,14:18,+00:02,13:06,71.9,151333000
2018-05-19,05:56,20:16,14:20,+00:02,13:06,72.1,151362000
2018-05-20,05:55,20:17,14:21,+00:02,13:06,72.3,151391000
2018-05-21,05:55,20:17,14:23,+00:02,13:06,72.5,151420000
2018-05-22,05:54,20:18,14:24,+00:01,13:06,72.7,151447000
2018-05-23,05:53,20:19,14:26,+00:01,13:06,72.9,151475000
2018-05-24,05:53,20:20,14:27,+00:01,13:06,73.1,151501000
2018-05-25,05:52,20:21,14:28,+00:01,13:06,73.3,151528000
2018-05-26,05:52,20:21,14:30,+00:01,13:06,73.4,151554000
2018-05-27,05:51,20:22,14:31,+00:01,13:06,73.6,151579000
2018-05-28,05:51,20:23,14:32,+00:01,13:06,73.8,151604000
2018-05-29,05:50,20:23,14:33,+00:01,13:07,73.9,151629000
2018-05-30,05:50,20:24,14:34,+00:01,13:07,74.1,151653000
2018-05-31,05:49,20:25,14:36,+00:01,13:07,74.2,151677000
2018-06-01,05:49,20:26,14:37,+00:01,13:07,74.4,151701000
2018-06-02,05:49,20:26,14:38,+00:01,13:07,74.5,151724000
2018-06-03,05:48,20:27,14:39,+00:01,13:07,74.6,151746000
2018-06-04,05:48,20:27,14:39,+00:01,13:08,74.7,151769000
2018-06-05,05:48,20:28,14:40,+00:01,13:08,74.8,151790000
2018-06-06,05:47,20:29,14:41,+00:01,13:08,74.9,151811000
2018-06-07,05:47,20:29,14:42,+00:01,13:08,75.0,151831000
2018-06-08,05:47,20:30,14:43,+00:01,13:08,75.1,151851000
2018-06-09,05:47,20:30,14:43,+00:01,13:08,75.2,151870000
2018-06-10,05:47,20:31,14:44,+00:01,13:09,75.3,151888000
2018-06-11,05:47,20:31,14:44,+00:01,13:09,75.3,151905000
2018-06-12,05:47,20:32,14:45,+00:00,13:09,75.4,151921000
2018-06-13,05:47,20:32,14:45,+00:00,13:09,75.5,151937000
2018-06-14,05:47,20:32,14:46,+00:00,13:10,75.5,151951000
2018-06-15,05:47,20:33,14:46,+00:00,13:10,75.6,151965000
2018-06-16,05:47,20:33,14:46,+00:00,13:10,75.6,151978000
2018-06-17,05:47,20:33,14:47,+00:00,13:10,75.6,151990000
2018-06-18,05:47,20:34,14:47,+00:00,13:10,75.6,152001000
2018-06-19,05:47,20:34,14:47,+00:00,13:11,75.7,152011000
2018-06-20,05:47,20:34,14:47,+00:00,13:11,75.7,152021000
2018-06-21,05:48,20:34,14:47,+00:00,13:11,75.7,152030000
2018-06-22,05:48,20:35,14:47,+00:00,13:11,75.7,152038000
2018-06-23,05:48,20:35,14:47,+00:00,13:11,75.6,152046000
2018-06-24,05:48,20:35,14:47,+00:00,13:12,75.6,152053000
2018-06-25,05:49,20:35,14:46,+00:00,13:12,75.6,152059000
2018-06-26,05:49,20:35,14:46,+00:00,13:12,75.6,152065000
2018-06-27,05:49,20:35,14:46,+00:00,13:12,75.5,152071000
2018-06-28,05:50,20:35,14:45,+00:00,13:12,75.5,152076000
2018-06-29,05:50,20:35,14:45,+00:00,13:13,75.4,152080000
2018-06-30,05:51,20:35,14:44,+00:00,13:13,75.4,152084000
2018-07-01,05:51,20:35,14:44,+00:01,13:13,75.3,152088000
2018-07-02,05:52,20:35,14:43,+00:01,13:13,75.2,152091000
2018-07-03,05:52,20:35,14:43,+00:01,13:13,75.1,152093000
2018-07-04,05:53,20:35,14:42,+00:01,13:14,75.0,152094000
2018-07-05,05:53,20:34,14:41,+00:01,13:14,74.9,152095000
2018-07-06,05:54,20:34,14:40,+00:01,13:14,74.8,152096000
2018-07-07,05:54,20:34,14:40,+00:01,13:14,74.7,152095000
2018-07-08,05:55,20:34,14:39,+00:01,13:14,74.6,152094000
2018-07-09,05:55,20:33,14:38,+00:01,13:14,74.5,152092000
2018-07-10,05:56,20:33,14:37,+00:01,13:15,74.4,152089000
2018-07-11,05:57,20:32,14:36,+00:01,13:15,74.2,152085000
2018-07-12,05:57,20:32,14:35,+00:01,13:15,74.1,152080000
2018-07-13,05:58,20:32,14:34,+00:01,13:15,74.0,152074000
2018-07-14,05:59,20:31,14:32,+00:01,13:15,73.8,152068000
2018-07-15,05:59,20:31,14:31,+00:01,13:15,73.7,152060000
2018-07-16,06:00,20:30,14:30,+00:01,13:15,73.5,152051000
2018-07-17,06:01,20:29,14:29,+00:01,13:15,73.3,152042000
2018-07-18,06:02,20:29,14:27,+00:01,13:15,73.1,152032000
2018-07-19,06:02,20:28,14:26,+00:01,13:16,73.0,152021000
2018-07-20,06:03,20:28,14:24,+00:01,13:16,72.8,152009000
2018-07-21,06:04,20:27,14:23,+00:01,13:16,72.6,151997000
2018-07-22,06:05,20:26,14:22,+00:01,13:16,72.4,151984000
2018-07-23,06:05,20:25,14:20,+00:02,13:16,72.2,151971000
2018-07-24,06:06,20:25,14:18,+00:02,13:16,72.0,151957000
2018-07-25,06:07,20:24,14:17,+00:02,13:16,71.7,151942000
2018-07-26,06:08,20:23,14:15,+00:02,13:16,71.5,151927000
2018-07-27,06:09,20:22,14:14,+00:02,13:16,71.3,151912000
2018-07-28,06:09,20:21,14:12,+00:02,13:16,71.1,151896000
2018-07-29,06:10,20:20,14:10,+00:02,13:16,70.8,151879000
2018-07-30,06:11,20:20,14:08,+00:02,13:16,70.6,151862000
2018-07-31,06:12,20:19,14:07,+00:02,13:16,70.3,151845000
2018-08-01,06:13,20:18,14:05,+00:02,13:15,70.1,151827000
2018-08-02,06:14,20:17,14:03,+00:02,13:15,69.8,151809000
2018-08-03,06:15,20:16,14:01,+00:02,13:15,69.6,151790000
2018-08-04,06:15,20:15,13:59,+00:02,13:15,69.3,151770000
2018-08-05,06:16,20:14,13:57,+00:02,13:15,69.0,151750000
2018-08-06,06:17,20:12,13:55,+00:02,13:15,68.8,151729000
2018-08-07,06:18,20:11,13:53,+00:02,13:15,68.5,151707000
2018-08-08,06:19,20:10,13:51,+00:02,13:15,68.2,151685000
2018-08-09,06:20,20:09,13:49,+00:02,13:15,67.9,151662000
2018-08-10,06:21,20:08,13:47,+00:02,13:14,67.6,151638000
2018-08-11,06:21,20:07,13:45,+00:02,13:14,67.3,151613000
2018-08-12,06:22,20:05,13:43,+00:02,13:14,67.0,151587000
2018-08-13,06:23,20:04,13:41,+00:02,13:14,66.7,151561000
2018-08-14,06:24,20:03,13:39,+00:02,13:14,66.4,151533000
2018-08-15,06:25,20:02,13:37,+00:02,13:14,66.1,151505000
2018-08-16,06:26,20:00,13:35,+00:02,13:13,65.8,151477000
2018-08-17,06:27,19:59,13:33,+00:02,13:13,65.5,151448000
2018-08-18,06:27,19:58,13:30,+00:02,13:13,65.1,151418000
2018-08-19,06:28,19:57,13:28,+00:02,13:13,64.8,151388000
2018-08-20,06:29,19:55,13:26,+00:02,13:12,64.5,151357000
2018-08-21,06:30,19:54,13:24,+00:02,13:12,64.1,151326000
2018-08-22,06:31,19:53,13:22,+00:02,13:12,63.8,151294000
2018-08-23,06:32,19:51,13:19,+00:02,13:12,63.5,151262000
2018-08-24,06:33,19:50,13:17,+00:02,13:11,63.1,151230000
2018-08-25,06:33,19:48,13:15,+00:02,13:11,62.8,151197000
2018-08-26,06:34,19:47,13:13,+00:02,13:11,62.4,151165000
2018-08-27,06:35,19:45,13:10,+00:02,13:11,62.1,151131000
2018-08-28,06:36,19:44,13:08,+00:02,13:10,61.7,151098000
2018-08-29,06:37,19:43,13:06,+00:02,13:10,61.4,151064000
2018-08-30,06:38,19:41,13:03,+00:02,13:10,61.0,151031000
2018-08-31,06:38,19:40,13:01,+00:02,13:09,60.7,150996000
2018-09-01,06:39,19:38,12:59,+00:02,13:09,60.3,150962000
2018-09-02,06:40,19:37,12:56,+00:02,13:09,59.9,150927000
2018-09-03,06:41,19:35,12:54,+00:02,13:08,59.6,150892000
2018-09-04,06:42,19:34,12:52,+00:02,13:08,59.2,150856000
2018-09-05,06:43,19:32,12:49,+00:02,13:08,58.8,150820000
2018-09-06,06:44,19:31,12:47,+00:02,13:07,58.5,150783000
2018-09-07,06:44,19:29,12:45,+00:02,13:07,58.1,150746000
2018-09-08,06:45,19:28,12:42,+00:02,13:07,57.7,150708000
2018-09-09,06:46,19:26,12:40,+00:02,13:06,57.3,150670000
2018-09-10,06:47,19:25,12:38,+00:02,13:06,56.9,150631000
2018-09-11,06:48,19:23,12:35,+00:02,13:06,56.6,150592000
2018-09-12,06:49,19:21,12:33,+00:02,13:05,56.2,150552000
2018-09-13,06:49,19:20,12:30,+00:02,13:05,55.8,150512000
2018-09-14,06:50,19:18,12:28,+00:02,13:05,55.4,150471000
2018-09-15,06:51,19:17,12:26,+00:02,13:04,55.0,150430000
2018-09-16,06:52,19:15,12:23,+00:02,13:04,54.7,150388000
2018-09-17,06:53,19:14,12:21,+00:02,13:04,54.3,150347000
2018-09-18,06:54,19:12,12:18,+00:02,13:03,53.9,150305000
2018-09-19,06:55,19:11,12:16,+00:02,13:03,53.5,150263000
2018-09-20,06:55,19:09,12:14,+00:02,13:02,53.1,150221000
2018-09-21,06:56,19:07,12:11,+00:02,13:02,52.7,150179000
2018-09-22,06:57,19:06,12:09,+00:02,13:02,52.3,150137000
2018-09-23,06:58,19:04,12:06,+00:02,13:01,51.9,150094000
2018-09-24,06:59,19:03,12:04,+00:02,13:01,51.5,150052000
2018-09-25,07:00,19:01,12:02,+00:02,13:01,51.2,150010000
2018-09-26,07:01,19:00,11:59,+00:02,13:00,50.8,149968000
2018-09-27,07:01,18:58,11:57,+00:02,13:00,50.4,149926000
2018-09-28,07:02,18:57,11:54,+00:02,13:00,50.0,149884000
2018-09-29,07:03,18:55,11:52,+00:02,12:59,49.6,149842000
2018-09-30,07:04,18:54,11:50,+00:02,12:59,49.2,149800000
2018-10-01,07:05,18:52,11:47,+00:02,12:59,48.8,149759000
2018-10-02,07:06,18:50,11:45,+00:02,12:58,48.4,149717000
2018-10-03,07:07,18:49,11:42,+00:02,12:58,48.1,149675000
2018-10-04,07:08,18:47,11:40,+00:02,12:58,47.7,149633000
2018-10-05,07:08,18:46,11:38,+00:02,12:57,47.3,149591000
2018-10-06,07:09,18:44,11:35,+00:02,12:57,46.9,149548000
2018-10-07,07:10,18:43,11:33,+00:02,12:57,46.5,149506000
2018-10-08,07:11,18:42,11:30,+00:02,12:57,46.1,149463000
2018-10-09,07:12,18:40,11:28,+00:02,12:56,45.8,149420000
2018-10-10,07:13,18:39,11:26,+00:02,12:56,45.4,149377000
2018-10-11,07:14,18:37,11:23,+00:02,12:56,45.0,149334000
2018-10-12,07:15,18:36,11:21,+00:02,12:56,44.6,149290000
2018-10-13,07:16,18:34,11:19,+00:02,12:55,44.3,149247000
2018-10-14,07:17,18:33,11:16,+00:02,12:55,43.9,149203000
2018-10-15,07:18,18:32,11:14,+00:02,12:55,43.5,149160000
2018-10-16,07:19,18:30,11:11,+00:02,12:55,43.1,149117000
2018-10-17,07:20,18:29,11:09,+00:02,12:54,42.8,149073000
2018-10-18,07:21,18:27,11:07,+00:02,12:54,42.4,149030000
2018-10-19,07:22,18:26,11:05,+00:02,12:54,42.1,148988000
2018-10-20,07:23,18:25,11:02,+00:02,12:54,41.7,148945000
2018-10-21,07:24,18:23,11:00,+00:02,12:54,41.3,148903000
2018-10-22,07:24,18:22,10:58,+00:02,12:54,41.0,148861000
2018-10-23,07:25,18:21,10:55,+00:02,12:53,40.6,148820000
2018-10-24,07:26,18:20,10:53,+00:02,12:53,40.3,148778000
2018-10-25,07:27,18:18,10:51,+00:02,12:53,40.0,148738000
2018-10-26,07:29,18:17,10:49,+00:02,12:53,39.6,148698000
2018-10-27,07:30,18:16,10:46,+00:02,12:53,39.3,148658000
2018-10-28,07:31,18:15,10:44,+00:02,12:53,38.9,148619000
2018-10-29,07:32,18:14,10:42,+00:02,12:53,38.6,148580000
2018-10-30,07:33,18:13,10:40,+00:02,12:53,38.3,148541000
2018-10-31,07:34,18:11,10:38,+00:02,12:53,38.0,148503000
2018-11-01,07:35,18:10,10:36,+00:02,12:53,37.6,148465000
2018-11-02,07:36,18:09,10:34,+00:02,12:53,37.3,148428000
2018-11-03,07:37,18:08,10:31,+00:02,12:53,37.0,148391000
2018-11-04,06:38,17:07,10:29,+00:02,11:53,36.7,148354000
2018-11-05,06:39,17:06,10:27,+00:02,11:53,36.4,148317000
2018-11-06,06:40,17:05,10:25,+00:02,11:53,36.1,148280000
2018-11-07,06:41,17:04,10:23,+00:02,11:53,35.8,148243000
2018-11-08,06:42,17:03,10:21,+00:02,11:53,35.5,148207000
2018-11-09,06:43,17:02,10:19,+00:02,11:53,35.2,148171000
2018-11-10,06:44,17:02,10:17,+00:02,11:53,34.9,148135000
2018-11-11,06:45,17:01,10:15,+00:02,11:53,34.7,148099000
2018-11-12,06:46,17:00,10:14,+00:02,11:53,34.4,148064000
2018-11-13,06:47,16:59,10:12,+00:02,11:53,34.1,148029000
2018-11-14,06:48,16:58,10:10,+00:02,11:54,33.9,147995000
2018-11-15,06:50,16:58,10:08,+00:02,11:54,33.6,147960000
2018-11-16,06:51,16:57,10:06,+00:02,11:54,33.4,147927000
2018-11-17,06:52,16:56,10:05,+00:02,11:54,33.1,147894000
2018-11-18,06:53,16:56,10:03,+00:02,11:54,32.9,147861000
2018-11-19,06:54,16:55,10:01,+00:02,11:55,32.7,147829000
2018-11-20,06:55,16:55,10:00,+00:02,11:55,32.4,147798000
2018-11-21,06:56,16:54,09:58,+00:02,11:55,32.2,147768000
2018-11-22,06:57,16:54,09:57,+00:02,11:55,32.0,147738000
2018-11-23,06:58,16:53,09:55,+00:01,11:56,31.8,147709000
2018-11-24,06:59,16:53,09:54,+00:01,11:56,31.6,147681000
2018-11-25,07:00,16:52,09:52,+00:01,11:56,31.4,147654000
2018-11-26,07:01,16:52,09:51,+00:01,11:57,31.2,147627000
2018-11-27,07:02,16:51,09:49,+00:01,11:57,31.0,147601000
2018-11-28,07:03,16:51,09:48,+00:01,11:57,30.9,147576000
2018-11-29,07:04,16:51,09:47,+00:01,11:58,30.7,147552000
2018-11-30,07:05,16:51,09:46,+00:01,11:58,30.5,147528000
2018-12-01,07:06,16:50,09:45,+00:01,11:58,30.4,147505000
2018-12-02,07:07,16:50,09:43,+00:01,11:59,30.2,147482000
2018-12-03,07:08,16:50,09:42,+00:01,11:59,30.1,147460000
2018-12-04,07:09,16:50,09:41,+00:01,11:59,29.9,147438000
2018-12-05,07:10,16:50,09:40,+00:01,12:00,29.8,147417000
2018-12-06,07:10,16:50,09:40,+00:01,12:00,29.7,147396000
2018-12-07,07:11,16:50,09:39,+00:01,12:01,29.6,147376000
2018-12-08,07:12,16:50,09:38,+00:01,12:01,29.5,147356000
2018-12-09,07:13,16:50,09:37,+00:01,12:02,29.4,147337000
2018-12-10,07:14,16:50,09:37,+00:01,12:02,29.3,147318000
2018-12-11,07:15,16:50,09:36,+00:01,12:03,29.2,147300000
2018-12-12,07:15,16:51,09:35,+00:01,12:03,29.1,147282000
2018-12-13,07:16,16:51,09:35,+00:01,12:03,29.1,147266000
2018-12-14,07:17,16:51,09:34,+00:00,12:04,29.0,147249000
2018-12-15,07:17,16:51,09:34,+00:00,12:04,29.0,147234000
2018-12-16,07:18,16:52,09:34,+00:00,12:05,28.9,147219000
2018-12-17,07:19,16:52,09:33,+00:00,12:05,28.9,147204000
2018-12-18,07:19,16:52,09:33,+00:00,12:06,28.9,147191000
2018-12-19,07:20,16:53,09:33,+00:00,12:06,28.8,147179000
2018-12-20,07:20,16:53,09:33,+00:00,12:07,28.8,147167000
2018-12-21,07:21,16:54,09:33,+00:00,12:07,28.8,147157000
2018-12-22,07:21,16:54,09:33,+00:00,12:08,28.8,147147000
2018-12-23,07:22,16:55,09:33,+00:00,12:08,28.8,147138000
2018-12-24,07:22,16:55,09:33,+00:00,12:09,28.8,147131000
2018-12-25,07:23,16:56,09:33,+00:00,12:09,28.9,147124000
2018-12-26,07:23,16:57,09:34,+00:00,12:10,28.9,147118000
2018-12-27,07:23,16:57,09:34,+00:00,12:10,28.9,147113000
2018-12-28,07:24,16:58,09:34,+00:00,12:11,29.0,147109000
2018-12-29,07:24,16:59,09:35,+00:00,12:11,29.1,147106000
2018-12-30,07:24,17:00,09:35,+00:00,12:12,29.1,147103000
2018-12-31,07:24,17:00,09:36,+00:01,12:12,29.2,147102000
